tower,time_UTC,LE_insitu,H_insitu,Rn_insitu,G_insitu
US-Tw4,2020-06-14 00:30:00,,,390.101307,9.1231705
US-Tw4,2020-06-14 17:00:00,,,545.893443,10.3643405
US-Tw4,2020-06-17 16:00:00,,,396.303609,6.576196
US-Tw4,2020-06-17 22:30:00,,,694.329857,2.6727675
US-Tw1,2019-02-11 18:30:00,,,371.854492,0.462217
US-Tw1,2019-02-14 17:30:00,,,213.148534,0.369433
US-Tw1,2019-05-30 00:00:00,,,449.548404,5.94679
US-Tw1,2019-06-02 22:30:00,,,666.64817,9.460895
US-Tw1,2019-06-09 20:00:00,,,769.911462,9.267585
US-Tw1,2019-06-13 18:30:00,,,739.219939,15.039215
US-Tw1,2019-06-20 16:00:00,,,418.950493,11.148481
US-Tw1,2019-06-20 22:30:00,,,681.727243,13.876116
US-Tw1,2019-06-23 21:30:00,,,742.460708,9.025459
US-Tw1,2019-07-01 18:00:00,,,680.16157,13.981066
US-Tw1,2019-07-27 01:30:00,,,208.65818,
US-Tw1,2019-08-03 22:00:00,,,691.259857,
US-Tw1,2019-08-10 19:30:00,,,758.166064,19.719515
US-Tw1,2019-08-14 18:00:00,,,625.585239,14.944906
US-Tw1,2019-08-17 23:30:00,,,494.526892,16.453626
US-Tw1,2019-08-21 22:00:00,,,653.945317,17.623817
US-Tw1,2019-08-25 20:30:00,,,718.81991,15.69723
US-Tw1,2019-08-29 18:30:00,,,644.841217,17.780898
US-Tw1,2019-09-01 18:00:00,,,592.08624,13.615998
US-Tw1,2019-09-02 17:00:00,,,458.604157,13.211435
US-Tw1,2019-10-02 22:30:00,,,425.787159,10.884999
US-Tw1,2019-10-06 20:30:00,,,569.695846,10.870729
US-Tw1,2019-10-09 20:00:00,,,563.945817,12.080045
US-Tw1,2019-10-17 16:30:00,,,222.562464,7.921099
US-Tw1,2019-10-17 23:00:00,,,287.547665,9.71108
US-Tw1,2019-11-01 17:30:00,,,343.683821,6.190336
US-Tw1,2019-12-09 19:30:00,,,,0.489553
US-Tw1,2020-02-05 20:30:00,,,439.787762,0.214804
US-Tw1,2020-02-13 17:30:00,,,331.496314,
US-Tw1,2020-03-31 22:30:00,,,556.691966,-1.064007
US-Tw1,2020-06-02 21:30:00,,,756.554968,9.821531
US-Tw1,2020-06-06 20:00:00,,,809.987088,15.420035
US-Tw1,2020-06-13 18:00:00,,,698.204173,17.884368
US-Tw1,2020-06-14 00:30:00,,,396.548154,16.088029
US-Tw1,2020-06-14 17:00:00,,,557.421689,15.95657
US-Tw1,2020-06-17 16:00:00,,,417.446682,16.444009
US-Tw1,2020-06-17 22:30:00,,,676.672525,19.552078
US-NR1,2019-02-13 17:00:00,,,,-1.8
US-NR1,2019-02-16 16:00:00,,,,-1.27
US-NR1,2019-02-16 22:30:00,,,,-1.24
